"state","trump","south","black"
"Alabama",62.9,1,26.8
"Alaska",52.9,0,4.7
"Arizona",49.5,0,5
"Arkansas",60.4,1,16.1
"California",33.2,0,7.2
"Colorado",44.4,0,5
"Connecticut",41.7,0,11.3
"Delaware",41.9,0,22.9
"Florida",49.1,1,17
"Georgia",51.3,1,31.5
"Hawaii",30,0,2.9
"Idaho",59.2,0,1
"Illinois",39.4,0,15.4
"Indiana",57.2,0,10.1
"Iowa",51.8,0,3.7
"Kansas",57.2,0,7.1
"Kentucky",62.5,0,8.7
"Louisiana",58.1,1,32.8
"Maine",45.2,0,1.6
"Maryland",35.3,0,30.9
"Massachusetts",33.5,0,7.8
"Michigan",47.6,0,15.2
"Minnesota",45.4,0,6.2
"Mississippi",58.3,1,37.6
"Missouri",57.1,0,12.5
"Montana",56.5,0,0.8
"Nebraska",60.3,0,5.4
"Nevada",45.5,0,9.4
"New Hampshire",47.3,0,1.7
"New Jersey",41.8,0,14.8
"New Mexico",40,0,2.8
"New York",37.5,0,17.2
"North Carolina",50.5,1,22.6
"North Dakota",64.1,0,1.6
"Ohio",52.1,0,13.4
"Oklahoma",65.3,0,8.7
"Oregon",41.1,0,2.6
"Pennsylvania",48.8,0,11.9
"Rhode Island",39.8,0,7.4
"South Carolina",54.9,1,28.8
"South Dakota",61.5,0,1.8
"Tennessee",61.1,1,17.4
"Texas",52.6,1,12.6
"Utah",46.6,0,1.6
"Vermont",32.6,0,1.5
"Virginia",45,1,20.7
"Washington",38.3,0,4.8
"West Virginia",68.7,0,4.2
"Wisconsin",47.9,0,7.1
"Wyoming",70.1,0,1.3
